strain	previous_names	isotype
BRC20391	NA	BRC20391
BRC20400	NA	BRC20400
BRC20464	NA	BRC20464
BRC20548	NA	BRC20548
ECA1299	NA	ECA1299
ECA1300	NA	ECA1300
ECA1301	NA	ECA1301
ECA1302	NA	ECA1302
ECA1303	NA	ECA1303
ECA1304	NA	ECA1304
ECA1305	NA	ECA1305
ECA1306	NA	ECA1306
ECA1307	NA	ECA1307
ECA1308	NA	NA
ECA1309	NA	ECA1306
ECA1310	NA	ECA1310
ECA1311	NA	ECA1311
ECA1312	NA	ECA1312
ECA1313	NA	ECA1313
ECA1401	S-0183	ECA1401
ECA1403	S-0184	ECA1403
ECA1405	S-0185	ECA1405
ECA1445	S-0558	ECA1445
ECA1447	S-0559	ECA1447
ECA1449	S-0566	ECA1449
ECA1451	S-0567	ECA1451
ECA1453	S-0569	ECA1453
ECA1481	S-10672	ECA1481
ECA1518	S-10420	ECA1518
ECA1579	S-10626	ECA1579
ECA1581	S-10627	ECA1581
ECA1583	S-10628	ECA1583
ECA1585	S-10629	ECA1585
ECA1599	S-10645	ECA1599
ECA1603	S-10661	ECA1603
ECA2087	S-10647	ECA2087
ECA2898	S-14667	ECA2898
ECA2899	S-14671	ECA2899
ECA2900	S-14683	ECA2900
ECA2910	S-14757	ECA2910
ECA2920	S-14668	NA
ECA2954	S-14119	NA
ECA2955	S-14120	NA
ECA2976	S-14191	NA
ECA3053	S-14958	ECA3053
ECA788	NA	ECA788
ECA789	NA	ECA789
ECA790	NA	ECA790
ECA791	NA	ECA791
ECA792	NA	ECA792
ECA793	NA	ECA793
ECA794	NA	ECA794
ECA795	NA	ECA799
ECA796	NA	ECA796
ECA797	NA	ECA797
ECA798	NA	ECA798
ECA799	NA	ECA799
ECA800	NA	ECA800
ECA801	NA	ECA801
ECA802	NA	ECA802
ECA803	NA	ECA803
ECA804	NA	ECA804
ECA805	NA	ECA805
ECA806	NA	ECA806
EG5889	NA	EG5889
EG6180	NA	EG6180
JU1373	R4D1	JU1373
JU1374	R6H1	JU1374
JU1428	4A2	JU1428
JU1429	4B2	JU1428
JU1430	4C1.2	JU1428
JU1630	2.2.1	JU1630
JU1631	6.1.1	JU1631
JU1632	7.1.2	JU1632
JU1633	13.2.1	JU1633
JU1634	19.2.3	JU1634
JU1635	20.2.1	JU1635
JU1636	21.1.1	JU1636
JU1639	27.2.2	JU1639
JU1640	29.1.1	JU1640
JU1641	39.1.1	JU1641
JU1800	R3.1.1.1.2	JU1800
JU1801	R4.1	NA
JU1818	C16.1	JU1818
JU1819	D8.1	JU1819
JU1821	D10.1	JU1821
JU1831	D25.2	JU1850
JU1835	D30.1	JU1835
JU1836	D32.1	JU1836
JU1838	D36.1	JU1838
JU1839	D36.2	JU1838
JU1845	E2.3	JU1845
JU1846	E12.1	JU1846
JU1847	E15.1	JU1847
JU1848	E18.1	JU1848
JU1849	F6.1	JU1849
JU1850	F6.2	JU1850
JU1851	F9.1	JU1851
JU1870	G5.1	JU1870
JU1871	G6.2	JU1871
JU1872	G8.1	JU1871
JU1975	Br2.1	JU1975
JU1976	Br3.1	JU1976
JU2505	Flower2	JU2505
JU2750	6	JU2750
JU2751	10	JU2750
JU2752	2	JU2752
JU3170	NA	JU3170
JU3213	NA	NA
JU3214	NA	NA
NIC1000	30-O1-1	NIC1000
NIC1001	30-O1-2	NIC1000
NIC1003	31-B1-2	NA
NIC1004	31-O2-1	NIC1004
NIC1005	31-O2-2	NIC1005
NIC1012	33-F4-1	NIC1012
NIC1015	33-O2-2	NIC1016
NIC1016	33-O3-1	NIC1016
NIC1028	31-O1	NIC1028
NIC1029	31-O5	NIC1038
NIC1033	38-A7	NIC1033
NIC1038	31-O4	NIC1038
NIC105	H6F6.5	NIC105
NIC1112	S1.1	NIC1112
NIC1113	S1.2	NA
NIC1114	R1.1	NIC1116
NIC1115	R1.2	NIC1116
NIC1116	R2.1	NIC1116
NIC1121	26	NIC1121
NIC1122	27.1	NIC1121
NIC1126	32	NIC1126
NIC1129	36	NIC1126
NIC1130	37a	NIC1160
NIC1132	38b	NIC1161
NIC1133	38c	NIC1160
NIC1136	45.1	NIC1136
NIC1137	45.2	NIC1137
NIC114	C2	NIC114
NIC1140	48b1	NIC1140
NIC1142	54	NIC1142
NIC1144	57a	NIC1144
NIC1145	57d	NIC1145
NIC1146	60	NIC1146
NIC1147	61	NIC1147
NIC1148	62.1	NIC1149
NIC1149	62.2	NIC1149
NIC1150	66	NIC1150
NIC1151	69	NIC1151
NIC1152	71.1	NIC1152
NIC1153	71.2	NIC1153
NIC1155	73	NIC1155
NIC1156	Clay1	NIC1156
NIC1157	Clay2	NIC1157
NIC1159	75.1	NIC1160
NIC1160	75.2	NIC1160
NIC1161	76	NIC1161
NIC1162	77.1	NIC1163
NIC1163	77.2	NIC1163
NIC1164	79	NIC1164
NIC1165	80	NIC1165
NIC1166	81b1	NIC1167
NIC1167	81b2	NIC1167
NIC1168	86	NIC1168
NIC1169	87	NIC1169
NIC1170	89	NIC1170
NIC1171	90b	NIC1180
NIC1172	91	NIC1180
NIC1173	92	NIC1170
NIC1174	93.1	NIC1175
NIC1175	93.2	NIC1175
NIC1176	94	NIC1176
NIC1177	95	NIC1177
NIC1178	96	NIC1180
NIC1179	101	NIC1179
NIC1180	102	NIC1180
NIC1181	108	NIC1181
NIC1187	127.1	NIC1188
NIC1188	127.2	NIC1188
NIC1192	142	NIC1192
NIC1193	143	NIC1193
NIC120	C0	NIC125
NIC121	C3	NIC124
NIC122	X6	NIC122
NIC124	C4	NIC124
NIC125	C5	NIC125
NIC1252	PM4-2	NIC1252
NIC1254	PM15-1	NIC1254
NIC1257	PM18-1	NIC1257
NIC1268	282	NIC1268
NIC1270	269	NIC1270
NIC1272	215	NIC1272
NIC1275	202	NIC1275
NIC1276	284a	NIC1276
NIC1277	249	NIC1277
NIC1278	189a	NIC1278
NIC1282	186	NIC1410
NIC1284	222	NIC1410
NIC1285	159-2	NIC1293
NIC129	11.1.2.a	NIC129
NIC1290	281	NIC1290
NIC1293	205	NIC1293
NIC1294	159-1	NIC1293
NIC1299	261d	NIC1419
NIC1300	273	NIC1300
NIC1301	149	NIC1301
NIC1305	241a	NIC1305
NIC1307	322	NIC1307
NIC1309	313b	NIC1309
NIC1313	314a	NIC1313
NIC1315	309	NIC1453
NIC1316	313a	NIC1316
NIC1317	305	NIC1317
NIC1321	301b	NIC1321
NIC1323	304	NIC1323
NIC1328	399b	NIC1328
NIC1335	366a	NIC1438
NIC1336	366b	NA
NIC1337	399d	NIC1337
NIC1338	397b	NIC1338
NIC1341	395	NIC1341
NIC1342	408a	NIC1432
NIC1343	398b	NIC1343
NIC1344	405	NIC1344
NIC1348	430	NIC1433
NIC1354	425	NIC1354
NIC1355	408b	NIC1355
NIC1359	403	NIC1359
NIC1363	409	NIC1363
NIC1368	383	NIC1381
NIC1370	374	NIC1372
NIC1371	382	NIC1372
NIC1372	357d	NIC1372
NIC1376	363	NIC1376
NIC1378	CI-5a	NIC1378
NIC1380	357c	NIC1372
NIC1381	377a	NIC1381
NIC1382	385	NIC1382
NIC1383	384	NIC1383
NIC1384	396a	NIC1384
NIC1386	261c	NIC1386
NIC1387	256a	NIC1387
NIC1388	189b	NIC1278
NIC1389	237c	NIC1389
NIC1391	275c	NIC1391
NIC1392	262c	NIC1392
NIC1393	293a	NIC1393
NIC1395	179	NIC1395
NIC1397	190a	NIC1410
NIC1400	320f	NIC1400
NIC1402	180	NA
NIC1404	174c	NIC1410
NIC1405	266	NIC1405
NIC1408	230	NIC1408
NIC1409	188a	NIC1410
NIC1410	157	NIC1410
NIC1411	275b	NIC1411
NIC1415	188c	NIC1415
NIC1417	312	NIC1313
NIC1419	260	NIC1419
NIC1420	256b	NIC1420
NIC1422	193c	NIC1422
NIC1425	378	NIC1425
NIC1430	400	NIC1430
NIC1432	530a	NIC1432
NIC1433	406a	NIC1433
NIC1434	424a	NA
NIC1436	398a	NIC1432
NIC1438	366c	NIC1438
NIC1447	422a	NIC1432
NIC1453	306	NIC1453
NIC1467	456-F5	NIC1438
NIC1470	469-F1	NIC1470
NIC1471	469-F2	NIC1470
NIC1472	469-F3	NIC1470
NIC1473	469-F4	NIC1470
NIC1474	469-F5	NIC1470
NIC1475	506-F2	NIC1477
NIC1476	506-F3	NIC1476
NIC1477	506-F5	NIC1477
NIC1478	506-O2	NIC1478
NIC1509	F19	NIC1257
NIC1514	F34	NIC1514
NIC1526	28	NIC1526
NIC1531	10	NIC1531
NIC1534	6	NIC1534
NIC1541	2b	NIC1541
NIC1542	3a	NIC1542
NIC1543	3b	NIC1543
NIC1544	4a	NIC1550
NIC1545	5b	NIC1545
NIC1546	5c	NIC1546
NIC1547	5d	NIC1547
NIC1548	5e	NIC1548
NIC1549	5f	NIC1549
NIC1550	5g	NIC1550
NIC1551	10a	NIC1551
NIC1553	10c	NIC1553
NIC1555	11b2	NIC1555
NIC1556	11c	NIC1556
NIC1557	13a	NIC1557
NIC1558	13c	NIC1557
NIC1559	14a	NIC1559
NIC1560	14b	NIC1560
NIC1561	15a	NIC1561
NIC1563	15c	NIC1563
NIC1564	16a	NIC1564
NIC1565	30c	NIC1565
NIC1583	1a	NIC1583
NIC1584	1b	NIC1583
NIC1585	1c	NIC1583
NIC1586	3b	NIC1586
NIC1587	5a	NIC1587
NIC1588	5b	NIC1588
NIC1592	41d	NIC1592
NIC1594	41f	NIC1594
NIC1596	42b	NIC1596
NIC1603	47d	NIC1603
NIC1644	1b	NIC1644
NIC1646	2b	NIC1646
NIC1647	3a	NIC1647
NIC1648	3b	NIC1648
NIC1649	3c	NIC1649
NIC1650	3d	NIC1650
NIC1651	4a1	NIC1651
NIC1653	4b	NIC1653
NIC1654	4c1	NA
NIC1656	4d	NIC1656
NIC1657	4e	NIC1657
NIC1658	5	NIC1658
NIC1679	18	NIC1679
NIC1694	35(o)?	NIC1694
NIC1837	28	NIC1846
NIC1846	65	NIC1846
NIC1848	67	NIC1846
NIC1851	83	NIC1851
NIC1855	101	NIC1855
NIC1856	104	NIC1856
NIC1862	121	NIC1862
NIC1877	164	NIC1877
NIC1878	170	NIC1877
NIC1879	175	NIC1879
NIC1881	179	NIC1881
NIC1886	115c	NIC1886
NIC1911	189b	NIC1911
NIC1912	81a	NIC1912
NIC1913	81b	NIC1913
NIC1914	81d	NIC1914
NIC1915	89a	NIC1915
NIC1916	89b	NIC1916
NIC1917	89d	NIC1917
NIC1918	90a	NIC1918
NIC1919	90b	NIC1919
NIC192	H4b	NIC192
NIC1927	84.1	NIC1927
NIC1928	84.2	NIC1928
NIC1929	111.1	NIC1929
NIC193	I3c1	NIC193
NIC1930	111.2	NIC1929
NIC1938	182a1	NIC1939
NIC1939	182a2	NIC1939
NIC1940	182b1	NIC1941
NIC1941	182b2	NIC1941
NIC1950	162c	NIC1950
NIC1960	158	NIC1877
NIC1961	161	NIC1877
NIC1962	163	NIC1962
NIC1976	89e	NIC1976
NIC203	G-H1a1	NIC203
NIC2355	BAER-233	NA
NIC2357	BAER-240a	NA
NIC2360	BAER-250	NA
NIC2361	BAER-252a	NA
NIC2362	BAER-252b	NA
NIC2363	BAER-255a	NA
NIC2364	BAER-257	NA
NIC2365	BAER-274	NA
NIC2366	BAER-276	NA
NIC2367	BAER-278	NA
NIC2368	BAER-279b	NA
NIC2370	BAER-349	NA
NIC2371	BAER-357-1	NA
NIC2373	BAER-358c	NA
NIC2375	BAER-361	NA
NIC245	2.1	NIC247
NIC247	3	NIC247
NIC249	6	NIC249
NIC280	3922	NIC280
NIC284	480b	NIC284
NIC286	544	NIC286
NIC289	436a	NIC294
NIC291	ng0022	NIC291
NIC294	436b	NIC294
NIC300	551	NIC300
NIC311	552a	NIC311
NIC312	504a	NIC312
NIC314	522a	NIC314
NIC321	3691	NIC321
NIC322	286b	NIC322
NIC324	3692	NIC321
NIC339	318	NIC339
NIC344	350a	NIC344
NIC350	415h	NIC350
NIC354	446	NIC354
NIC359	421c	NIC359
NIC363	555	NIC363
NIC365	513b	NIC365
NIC372	531c	NIC372
NIC374	534	NIC387
NIC375	528c2	NIC416
NIC378	2861	NIC389
NIC380	501	NIC925
NIC382	506	NIC382
NIC383	528c1	NIC416
NIC384	4861	NIC384
NIC387	510	NIC387
NIC389	2862	NIC389
NIC390	515b	NIC387
NIC391	529	NIC391
NIC393	4922	NIC393
NIC396	4962	NIC396
NIC403	2932	NIC404
NIC404	2931	NIC404
NIC405	2933	NIC404
NIC407	313	NIC407
NIC408	302	NIC408
NIC409	2934	NIC404
NIC413	481	NIC413
NIC416	528c3	NIC416
NIC417	4771	NIC417
NIC420	352	NIC420
NIC422	502	NIC422
NIC424	338	NIC424
NIC425	361	NIC425
NIC426	345	NIC426
NIC434	13OF3	NIC434
NIC436	13ML5	NIC436
