trait	Chr	start	end	e_chr	e_start	e_peak	e_end	logP	var_exp	eQTL_classification	e_length	ens_gene	ext_gene	biotype
2L52.1a.1	II	1848	5498	IV	15810260	16371580	17490095	8.68717089213227	0.242260243464375	Distant eQTL	1679835	WBGene00007063	2L52.1	mRNA
2RSSE.1a.1	II	15268212	15274342	V	13166974	14444778	15291012	7.8858417535773	0.197728035812389	Distant eQTL	2124038	WBGene00007064	rga-9	mRNA
2RSSE.1b.1	II	15268210	15276274	II	13697030	14516794	15272855	10.7451101544985	0.246745933969495	Local eQTL	1575825	WBGene00007064	rga-9	mRNA
2RSSE.3	II	15277890	15278575	II	13682496	14884692	15272855	51.148447420675	0.846328376780927	Local eQTL	1590359	WBGene00044951	2RSSE.3	pseudogenic_transcript
3R5.1a.1	III	13780215	13781133	III	12025552	12512302	13772968	8.83797155954807	0.16533175110437	Distant eQTL	1747416	WBGene00007065	pot-3	mRNA
3R5.1a.1	III	13780215	13781133	V	17944847	18970973	20196349	7.50829231311733	0.140423186089543	Distant eQTL	2251502	WBGene00007065	pot-3	mRNA
AC3.12.1	V	10378938	10379371	V	18847432	20410593	20900332	6.45704291729447	0.122169691651689	Distant eQTL	2052900	WBGene00077503	AC3.12	mRNA
AC3.3.1	V	10380340	10381826	V	13598611	14649731	15294340	7.10026487754926	0.137178481452751	Distant eQTL	1695729	WBGene00000024	abu-1	mRNA
AC3.4.1	V	10382442	10384063	IV	13745921	14412461	15028027	6.21063502794891	0.114474041197548	Distant eQTL	1282106	WBGene00004098	pqn-2	mRNA
AC8.10.1	X	237496	239177	II	2823932	3333899	3636951	6.70261764187008	0.226695569573023	Distant eQTL	813019	WBGene00043988	AC8.10	mRNA
AC8.10.1	X	237496	239177	X	303285	340119	2816488	16.1221995021469	0.411672481021808	Local eQTL	2513203	WBGene00043988	AC8.10	mRNA
AC8.11.1	X	226254	238345	II	2823932	3333899	3636951	7.28651290374542	0.255663648518206	Distant eQTL	813019	WBGene00043989	AC8.11	mRNA
AC8.11.1	X	226254	238345	X	303285	340119	2816488	12.1082800644593	0.331772360794692	Local eQTL	2513203	WBGene00043989	AC8.11	mRNA
AC8.12	X	239849	240781	II	2184107	3333899	4404618	31.3018581408323	0.671004820179514	Distant eQTL	2220511	WBGene00043990	AC8.12	pseudogenic_transcript
AC8.1	X	242291	252767	X	303285	305933	2487726	10.7450496375947	0.17294738072547	Local eQTL	2184441	WBGene00004054	AC8.1	pseudogenic_transcript
AC8.2	X	248343	249802	X	303285	303837	5389261	65.8979516273877	0.768177059680447	Local eQTL	5085976	WBGene00007074	AC8.2	pseudogenic_transcript
AC8.4.1	X	226651	227394	X	303285	340119	2816488	16.0099186325792	0.410155949063847	Local eQTL	2513203	WBGene00007076	AC8.4	mRNA
AC8.5	X	221017	225084	X	303285	305933	6673110	15.2257905060659	0.316251996756932	Local eQTL	6369825	WBGene00007077	AC8.5	pseudogenic_transcript
AC8.7	X	230433	231365	II	2184107	3333899	4404618	31.3018581408323	0.671004820179514	Distant eQTL	2220511	WBGene00007079	AC8.7	pseudogenic_transcript
AH10.4.1	V	14137348	14137866	V	12433268	13938211	16569761	9.36670166195477	0.173509041977561	Local eQTL	4136493	WBGene00007085	AH10.4	mRNA
AH6.3.1	II	9519055	9520213	II	8799130	9520225	10079641	7.29343278343839	0.216350582931267	Local eQTL	1280511	WBGene00007081	AH6.3	mRNA
AH9.2.1	X	2255848	2258101	I	993217	1549172	1938599	9.39228264393119	0.204285030504829	Distant eQTL	945382	WBGene00000797	crn-4	mRNA
B0001.1a.2	IV	12129504	12135097	IV	43186	455658	795140	7.4495009905123	0.14098119096549	Distant eQTL	751954	WBGene00003010	lin-24	mRNA
B0001.3b.2	IV	12143431	12145733	IV	14373029	16652461	17490095	9.80220452563947	0.227887418821133	Distant eQTL	3117066	WBGene00007088	B0001.3	mRNA
B0001.6.2	IV	12159464	12164281	IV	6159679	12607488	14054779	7.11623387811013	0.131752018407373	Local eQTL	7895100	WBGene00007091	eri-12	mRNA
B0001.6.2	IV	12159464	12164281	V	1512272	1859969	2668390	6.51909351184012	0.120639743112515	Distant eQTL	1156118	WBGene00007091	eri-12	mRNA
B0001.6.2	IV	12159464	12164281	X	303285	1658638	4298057	8.28615276915553	0.153676242343137	Distant eQTL	3994772	WBGene00007091	eri-12	mRNA
B0019.2.1	I	12773659	12782343	V	1962216	2708326	4140604	6.72930960084205	0.124401520860223	Distant eQTL	2178388	WBGene00007094	B0019.2	mRNA
B0025.1a.1	I	6028486	6033455	I	3042556	4754801	10693877	9.43008417251148	0.171826948678402	Distant eQTL	7651321	WBGene00006932	vps-34	mRNA
B0025.1a.2	I	6028486	6033458	I	3031428	5489082	10702236	14.1306796915866	0.256039902076803	Local eQTL	7670808	WBGene00006932	vps-34	mRNA
B0025.1c.1	I	6028498	6033364	IV	14033747	14773990	15238915	6.24138301012767	0.115064863548387	Distant eQTL	1205168	WBGene00006932	vps-34	mRNA
B0034.4.1	II	5968060	5969531	II	5043529	5864689	7766558	8.86699402740385	0.164387772675953	Local eQTL	2723029	WBGene00015004	B0034.4	mRNA
B0035.10.1	IV	11326588	11326998	IV	5433699	8009711	16278764	23.4544735523482	0.547089318852913	Distant eQTL	10845065	WBGene00001919	his-45	mRNA
B0035.10.1	IV	11326588	11326998	V	5670411	7820031	12447268	10.8108952419994	0.395564384488088	Distant eQTL	6776857	WBGene00001919	his-45	mRNA
B0035.10.1	IV	11326588	11326998	V	17910668	18849905	20198133	8.65929967048816	0.326848173779783	Distant eQTL	2287465	WBGene00001919	his-45	mRNA
B0035.12.2	IV	11327628	11332969	II	8265484	9332768	11062269	9.02030398435805	0.183235594163909	Distant eQTL	2796785	WBGene00007111	sart-3	mRNA
B0035.15.1	IV	11296952	11298388	IV	5117686	7474151	12413487	7.30401738679718	0.135301876972255	Distant eQTL	7295801	WBGene00007113	B0035.15	mRNA
B0035.3.1	IV	11314078	11315116	X	15078181	15514168	15852954	6.24246009167832	0.115085554165676	Distant eQTL	774773	WBGene00007106	B0035.3	mRNA
B0035.8.1	IV	11324745	11325116	IV	4059212	10931703	14420820	74.9727446433516	0.80929861744691	Local eQTL	10361608	WBGene00001922	his-48	mRNA
B0035.9.1	IV	11326018	11326329	II	7028	671347	1100367	6.15189106296265	0.138740454926058	Distant eQTL	1093339	WBGene00001920	his-46	mRNA
B0035.9.1	IV	11326018	11326329	III	12208217	12491239	13315436	6.17435713845899	0.144027268615898	Distant eQTL	1107219	WBGene00001920	his-46	mRNA
B0041.11.2	I	4660905	4662199	I	2895884	4686874	10756606	15.7692145622904	0.303083152528237	Local eQTL	7860722	WBGene00206362	B0041.11	mRNA
B0041.2b.1	I	4653470	4660153	I	2795012	4622776	10874829	10.3401274054113	0.18911424150579	Local eQTL	8079817	WBGene00015007	ain-2	mRNA
B0041.2c.1	I	4653896	4660153	I	2953051	4686874	9869331	9.147901098259	0.169525990946903	Local eQTL	6916280	WBGene00015007	ain-2	mRNA
B0041.2e.1	I	4653473	4660151	I	2795012	4686874	11424624	107.815996800793	0.847283648638591	Local eQTL	8629612	WBGene00015007	ain-2	mRNA
B0041.2e.2	I	4653467	4660153	I	2895884	4686874	11151559	32.4739007535985	0.540551309955977	Local eQTL	8255675	WBGene00015007	ain-2	mRNA
B0041.7.1	I	4665933	4671738	IV	13317070	15202700	16464402	10.2354575978858	0.191072321434608	Distant eQTL	3147332	WBGene00006961	xnp-1	mRNA
